task,budget
1,421483.539
2,307213.187
3,432814.194
4,337852.377
5,483351.743
6,129115.184
7,439732.367
8,108891.783
9,114052.619
10,195240.526
11,570363.155
12,171175.081
13,271931.978
14,150946.681
15,576698.795
16,201369.941
17,188846.75
18,215479.168
19,236083.74
20,107896.372
21,207370.638
22,394985.047
23,530071.346
24,508238.288
25,481557.33
26,308055.172
27,351712.056
28,362836.6
29,473510.847
30,546881.287
31,549573.819
32,305103.975
33,147143.468
34,143820.976
35,171150.892
36,153619.552
37,336300.991
38,254076.068
39,128572.976
40,335223.695
41,195018.271
42,557637.144
43,160813.351
44,359309.251
45,551018.839
46,243766.186
47,262790.195
48,423330.434
49,209694.255
50,118318.677
51,506629.108
52,369077.973
53,314703.169
54,230431.81
55,419270.511
56,181706.938
57,207996.862
58,155548.906
59,589213.585
60,220433.614
61,480549.165
62,310395.851
63,254668.111
64,570172.077
65,240233.768
66,348214.286
67,436785.897
68,289305.449
69,175216.888
70,322168.368
71,152998.425
72,535877.912
73,148780.447
74,520038.108
75,164126.721
76,597361.281
77,575885.182
78,386090.947
79,450452.22
80,389669.386
81,162831.78
82,230873.785
83,327598.896
84,352245.559
85,503655.533
86,572992.106
87,452036.179
88,525737.668
89,469702.52
90,238163.135
91,297174.772
92,567512.815
93,207122.714
94,353187.383
95,513615.199
96,107118.52
97,204566.465
98,558723.209
99,188768.181
100,133507.437
101,392890.03
102,268320.771
103,346729.238
104,434277.504
105,212387.408
106,599602.972
107,546183.113
108,413058.239
109,191519.541
110,135684.854
111,233810.315
112,364236.351
113,225521.498
114,547423.761
115,418724.553
116,386155.479
117,468583.268
118,406260.355
119,257619.975
120,233696.848
121,347199.467
122,174610.824
123,494761.783
124,265385.921
125,561893.872
126,454299.581
127,396348.171
128,259789.552
129,101609.633
130,187459.433
131,308277.87
132,370322.045
133,301797.835
134,480952.202
135,109936.325
136,592337.805
137,112347.796
138,155657.647
139,533931.384
140,539935.742
141,210502.779
142,514217.076
143,211417.931
144,109898.489
145,472710.719
146,394801.246
147,587877.391
148,383082.439
149,595393.796
150,184783.134
151,233089.726
152,304440.802
153,535329.092
154,113096.761
155,177195.291
156,570218.499
157,331414.982
158,462063.385
159,199928.771
160,569875.463
161,225534.887
162,331228.775
163,591925.248
164,560940.494
165,435249.817
166,415122.758
167,250397.936
168,111427.713
169,239601.729
170,481790.522
171,281426.629
172,311855.305
173,361304.017
174,535514.498
175,412088.908
176,202632.878
177,596804.844
178,590892.8
179,355337.778
180,440645.267
181,161582.939
182,403472.093
183,591369.962
184,186522.622
185,398556.389
186,530254.853
187,173625.266
188,288616.704
189,306448.436
190,394829.634
191,338301.041
192,240314.387
193,413591.01
194,441319.148
195,370434.637
196,170928.354
197,131766.671
198,583473.361
199,140487.542
200,462939.707
201,175392.163
202,159556.962
203,597058.839
204,151806.039
205,342043.656
