task,latitude,longitude
1,18.7623,73.6647
2,9.8152,73.6967
3,12.1126,85.3505
4,30.3478,76.7425
5,23.1743,80.2744
6,32.595,96.6478
7,24.4178,96.1163
8,18.4376,85.5513
9,22.1279,88.6467
10,16.6169,68.8034
11,24.7494,92.2843
12,36.7038,87.5934
13,28.3178,90.1864
14,22.5304,90.6094
15,21.3282,77.6662
16,21.5554,82.4518
17,23.6943,73.667
18,35.8981,79.5494
19,14.84,81.527
20,36.253,88.9399
21,34.3563,91.5277
22,23.489,73.1129
23,30.588,85.1424
24,17.938,94.8173
25,22.3504,77.1241
26,34.3585,89.3431
27,12.991,73.2579
28,14.4749,79.8822
29,15.3469,86.2349
30,22.5537,80.4079
31,13.393,77.8638
32,14.3275,96.0104
33,31.6427,97.3649
34,19.0011,71.9597
35,29.8039,96.0665
36,27.7342,80.7921
37,33.6391,78.2599
38,15.963,83.6776
39,15.2963,96.3964
40,28.1612,97.1063
41,36.2571,84.0016
42,10.2909,87.217
43,24.723,78.9507
44,28.0153,76.5822
45,20.0587,93.2431
46,35.6465,90.1095
47,35.8861,74.3623
48,30.9827,85.8071
49,29.7004,82.6949
50,22.8344,77.8315
51,8.6236,96.7656
52,30.5466,77.5675
53,11.9795,90.1062
54,34.6073,93.3206
55,30.1047,76.7138
56,17.9751,84.8706
57,13.9391,73.6618
58,34.0124,79.7105
59,12.8971,77.5769
60,8.613,86.9424
61,12.128,96.6248
62,22.5077,90.8446
63,23.1417,86.0029
64,29.4881,87.5867
65,37.218,88.9348
66,29.1232,91.5387
67,25.8137,94.6264
68,16.8073,91.318
69,36.3265,78.6226
70,17.0954,76.2172
71,14.0948,90.378
72,13.3324,75.7303
73,24.8047,84.3721
74,12.8951,83.7586
75,34.5901,90.6032
76,14.5972,94.1285
77,25.8585,90.5913
78,25.0984,92.158
79,23.8661,91.877
80,23.4235,81.1592
81,20.1897,69.371
82,17.2759,95.4559
83,35.2599,92.1285
84,21.9252,95.9959
85,26.426,83.8297
86,35.369,89.8056
87,27.6022,72.1522
88,34.7366,69.4008
89,30.0328,92.1509
90,11.0152,74.727
91,35.388,71.1093
92,28.2083,91.8058
93,28.9986,72.0758
94,30.0917,78.7166
95,25.5322,77.6381
96,27.6655,83.1134
97,18.202,95.0767
98,27.0931,87.4794
99,20.391,86.213
100,30.1467,89.5854
101,20.723,79.9851
102,11.8406,83.4684
103,36.0319,93.7068
104,36.0108,89.9276
105,17.4563,72.6989
106,16.8484,87.568
107,33.137,88.9614
108,21.7722,70.6567
109,12.8979,83.5573
110,8.7918,72.3157
111,36.1374,72.0046
112,17.2017,87.9896
113,26.3118,96.6855
114,18.7712,87.0994
115,26.0755,93.5313
116,32.7383,74.3284
117,22.3307,92.4636
118,28.98,74.1429
119,25.1197,94.6548
120,35.9441,85.8797
121,17.7949,92.9602
122,33.0215,78.4599
123,21.1466,72.4647
124,22.1774,76.7023
125,35.381,92.4706
126,16.8283,88.1232
127,17.1744,79.3246
128,8.6523,87.0272
129,16.058,78.3668
130,31.3824,74.3243
131,28.0268,70.794
132,19.8469,83.7441
133,15.9545,96.1183
134,37.3247,76.1931
135,14.0532,86.1812
136,30.9337,96.9794
137,37.2812,95.5949
138,13.7444,74.7471
139,34.0438,70.9503
140,31.9456,90.6271
141,10.8771,75.3208
142,31.7025,70.916
143,25.5066,78.1025
144,10.631,76.6527
145,11.4938,75.64
146,10.5892,84.1644
147,21.0595,83.829
148,29.1619,73.1381
149,30.9271,78.1015
150,34.9037,95.9859
151,20.7679,84.3228
152,29.6048,86.9184
153,32.438,86.3241
154,30.5842,93.1254
155,36.4993,83.3932
156,15.8132,75.2147
157,21.5965,77.2652
158,14.48,74.2249
159,18.7159,93.5617
160,25.8511,79.0006
161,32.5228,73.8157
162,13.8309,93.8172
163,14.8108,74.6771
164,17.9675,74.1403
165,30.3024,88.4199
166,19.1487,76.9869
167,29.2741,83.6143
168,37.3186,87.7905
169,9.7752,92.9199
170,29.405,78.5994
171,35.7988,77.0003
172,20.3124,74.4265
173,22.3118,70.8888
174,12.0229,72.8182
175,28.9566,88.6767
176,14.5845,91.9278
177,25.7927,74.5139
178,36.7688,71.7091
179,31.7771,81.9453
180,32.8509,90.093
181,29.1446,94.0935
182,28.6024,81.3105
183,31.3192,69.248
184,33.2201,74.8133
185,23.6653,89.5948
186,29.3433,73.9509
187,31.5256,71.7325
188,30.5267,72.6245
189,35.2752,93.5427
190,17.4221,93.0292
191,30.8656,76.8025
192,14.0902,96.3893
193,15.4923,89.9004
194,15.2799,83.8604
195,24.8358,88.887
196,24.293,93.7287
197,33.0431,81.2227
198,27.4866,86.9304
199,15.6508,77.7705
200,17.5372,70.5565
