task,req_skill
1,8
1,5
2,8
3,5
4,3
4,5
4,4
5,6
5,4
5,9
6,1
7,8
7,5
8,3
8,5
8,8
9,2
9,4
9,8
9,7
10,9
10,7
10,8
10,3
10,1
11,6
11,4
11,3
11,1
11,8
12,4
12,7
13,7
13,2
13,1
13,10
13,8
14,8
14,4
15,8
16,5
16,1
16,10
17,8
17,7
17,4
17,10
18,5
18,8
18,2
18,3
18,6
19,9
19,2
19,8
19,4
20,7
20,3
20,8
21,9
21,8
21,1
21,7
22,2
22,6
22,5
22,4
23,2
24,5
24,3
25,7
25,5
25,3
25,6
25,1
26,10
26,4
27,7
28,1
28,2
28,9
28,6
29,1
29,3
30,4
30,10
30,9
30,2
30,7
31,6
31,9
31,7
31,1
31,4
32,10
32,4
32,3
33,5
33,9
33,2
34,8
34,3
34,2
34,9
35,6
36,9
36,5
37,7
37,2
37,4
37,5
38,7
38,3
38,6
38,9
39,7
39,10
39,8
40,3
40,2
40,6
40,5
40,10
41,2
41,3
41,1
41,9
41,8
42,10
43,9
43,1
43,6
44,9
44,4
44,6
44,5
45,10
46,4
46,1
46,6
46,10
46,5
47,8
47,9
47,2
47,6
48,6
48,1
49,2
50,4
51,7
51,1
51,4
52,1
52,10
52,9
53,2
53,8
54,10
55,7
55,5
55,9
55,3
56,5
57,4
57,1
57,6
57,9
58,8
58,7
58,5
58,2
58,9
59,8
59,9
59,7
60,8
61,3
62,6
62,1
62,10
62,7
62,5
63,1
63,8
63,9
63,7
63,6
64,3
64,10
65,5
65,7
66,7
66,9
66,8
66,10
67,7
67,2
67,3
68,6
68,7
68,4
68,3
68,2
69,6
69,4
69,1
69,7
70,4
71,10
71,7
71,4
71,5
72,3
72,2
73,7
73,9
73,8
73,6
73,2
74,6
74,4
74,7
75,10
75,1
76,6
76,5
77,5
77,3
77,2
77,10
77,9
78,8
79,4
79,3
80,3
80,9
80,10
80,4
81,8
81,6
81,3
82,7
82,9
82,3
82,4
82,6
83,10
83,1
84,1
84,10
84,8
85,3
85,2
86,10
86,6
86,8
86,1
87,7
87,10
87,1
87,5
88,5
88,7
88,9
89,2
89,3
90,10
90,6
91,2
91,3
92,8
92,6
92,4
93,1
93,10
93,5
94,9
94,8
95,9
95,1
95,2
95,4
96,4
96,9
96,2
96,3
97,10
97,3
98,5
99,4
99,8
99,10
100,8
100,10
100,6
