worker,cost
1,7.331
2,5.813
3,5.785
4,6.341
5,6.223
6,6.37
7,9.254
8,8.472
9,8.005
10,6.083
11,9.582
12,9.196
13,7.601
14,7.819
15,5.032
16,6.864
17,5.784
18,6.234
19,8.958
20,5.621
21,7.561
22,5.89
23,6.858
24,5.224
25,8.69
26,6.775
27,6.565
28,9.922
29,8.333
30,6.171
31,7.655
32,5.758
33,7.153
34,5.609
35,5.079
36,9.793
37,6.877
38,6.594
39,9.894
40,7.646
41,8.53
42,8.575
43,5.687
44,7.779
45,8.412
46,5.748
47,9.881
48,6.605
49,7.125
50,9.007
51,7.444
52,9.702
53,6.707
54,6.511
55,6.601
56,9.29
57,6.177
58,6.36
59,6.297
60,5.049
61,9.293
62,7.941
63,6.223
64,8.1
65,7.571
66,7.254
67,5.121
68,9.87
69,8.19
70,9.334
71,5.115
72,7.098
73,5.806
74,9.685
75,9.478
76,5.076
77,6.776
78,5.335
79,7.204
80,8.254
81,7.161
82,5.66
83,5.839
84,5.906
85,8.055
86,6.756
87,7.344
88,6.458
89,7.441
90,5.825
91,6.346
92,6.12
93,5.875
94,6.174
95,8.877
96,9.565
97,5.857
98,6.12
99,8.791
100,7.783
101,5.63
102,9.663
103,8.641
104,6.266
105,8.672
106,5.272
107,7.744
108,7.99
109,9.56
110,8.254
111,7.365
112,6.807
113,7.505
114,5.569
115,7.433
116,7.653
117,5.884
118,7.641
119,9.843
120,8.411
121,8.224
122,9.201
123,7.778
124,7.849
125,5.06
126,5.187
127,5.391
128,7.092
129,7.515
130,5.573
131,9.74
132,7.019
133,6.64
134,8.769
135,8.488
136,5.786
137,6.329
138,8.159
139,8.846
140,8.245
141,9.884
142,6.136
143,6.725
144,6.178
145,7.333
146,8.389
147,8.109
148,6.343
149,8.309
150,6.773
