worker,range
1,9351.609
2,8099.915
3,9488.222
4,9911.403
5,9497.681
6,8634.178
7,9186.535
8,9227.96
9,8332.475
10,8367.3
11,9755.337
12,8356.814
13,9634.642
14,8064.773
15,9311.776
16,9490.592
17,9858.905
18,8949.999
19,9842.466
20,8167.165
21,9415.992
22,9159.438
23,8460.5
24,9165.803
25,8111.309
26,9004.384
27,8257.517
28,9678.214
29,9781.633
30,9413.857
31,9275.822
32,8758.837
33,9203.712
34,8863.647
35,9221.062
36,8862.758
37,8310.829
38,8870.714
39,8055.169
40,9786.746
41,8331.201
42,9790.61
43,9402.82
44,8997.725
45,9815.549
46,9036.423
47,9655.143
48,8152.307
49,9250.727
50,9690.981
51,8738.08
52,8104.069
53,9360.437
54,9498.447
55,9573.977
56,9505.395
57,8745.776
58,9549.435
59,9890.876
60,8073.727
61,8354.964
62,9076.693
63,9415.917
64,8787.44
65,9036.765
66,8053.407
67,8481.088
68,9975.735
69,8733.183
70,8657.645
71,9428.919
72,9048.713
73,8448.692
74,8046.644
75,8829.023
76,9808.419
77,9649.923
78,9343.948
79,9075.228
80,9611.36
81,8610.546
82,9790.638
83,9640.544
84,8826.596
85,8398.609
86,8982.73
87,8270.323
88,9565.611
89,8327.049
90,9972.395
91,8495.484
92,8091.187
93,8750.148
94,9909.77
95,8403.049
96,9868.398
97,9994.322
98,9909.993
99,8568.365
100,9046.152
101,8691.345
102,9180.785
103,9024.712
104,8226.957
105,8813.85
106,9193.569
107,8635.637
108,8517.999
109,9982.601
110,9271.727
111,8225.824
112,9384.193
113,8241.059
114,9172.352
115,8505.8
116,8861.508
117,9999.577
118,8589.118
119,8545.618
120,8917.068
121,9556.42
122,8355.634
123,9223.803
124,8312.758
125,9045.732
126,8110.51
127,9292.06
128,8239.746
129,9724.319
130,8268.351
131,9080.673
132,9886.261
133,8262.414
134,8129.386
135,9033.949
136,9178.537
137,9941.276
138,8022.983
139,8020.951
140,9418.749
141,9978.806
142,8453.489
143,8188.594
144,9159.097
145,9828.921
146,9788.739
147,8899.576
148,9600.796
149,9753.283
150,9213.174
