worker,skill
4,10
4,9
4,3
5,9
6,2
6,10
6,7
6,9
6,3
7,8
7,5
7,9
7,1
8,1
8,7
8,5
8,10
8,2
9,2
9,1
9,10
9,9
10,7
10,5
10,2
10,10
11,2
11,3
11,10
11,1
12,9
12,5
12,3
13,8
13,3
13,2
13,1
14,1
14,6
14,8
14,5
14,3
15,3
15,4
16,3
16,6
17,2
18,9
19,6
19,5
19,10
19,3
20,7
20,4
20,2
20,5
21,4
21,7
21,1
21,6
22,3
22,2
22,10
23,7
23,4
23,6
23,2
23,5
24,10
24,3
24,4
24,2
24,7
25,10
25,4
25,3
25,7
25,2
26,7
26,2
26,3
27,9
27,5
27,1
27,7
27,6
28,7
29,2
29,1
30,2
30,4
31,10
31,8
31,5
32,10
33,4
33,3
33,5
33,10
33,2
34,5
34,7
34,9
35,4
35,9
35,10
36,6
36,1
37,6
37,9
37,2
38,8
39,1
39,8
39,10
39,5
40,3
40,7
41,7
42,1
43,7
43,4
43,2
43,6
44,1
44,4
45,2
46,10
46,8
46,3
47,1
47,6
47,2
47,7
48,10
49,5
49,1
49,7
49,9
50,9
50,6
50,7
51,5
51,4
51,2
52,8
52,5
52,7
53,5
54,4
54,9
55,4
55,10
55,8
56,4
56,1
56,9
56,8
56,10
57,5
57,3
57,10
57,4
58,2
58,8
58,9
58,7
59,1
60,7
61,7
61,9
61,5
61,6
62,9
62,6
62,1
62,8
63,1
63,2
63,3
64,7
65,9
65,7
65,8
65,6
66,1
66,5
67,6
68,9
68,6
68,8
68,7
68,3
69,8
69,1
70,3
70,9
71,4
71,6
71,7
71,1
71,10
72,10
72,7
72,5
73,2
73,5
73,7
73,8
74,3
74,5
74,7
75,7
75,2
75,5
76,2
76,6
76,10
77,2
77,5
78,4
78,2
78,8
79,10
80,9
80,2
80,1
80,4
81,7
81,1
82,3
82,2
82,10
82,8
83,9
83,8
83,4
83,7
83,6
84,10
84,5
84,2
84,1
84,7
85,2
85,8
85,1
85,4
85,5
86,8
86,1
87,4
87,8
87,1
87,9
87,3
88,5
88,6
88,9
89,5
89,2
90,7
90,9
90,10
90,6
90,8
91,4
91,3
91,2
91,6
92,7
92,9
92,3
93,1
93,4
93,10
93,9
93,6
94,4
94,6
94,7
94,9
95,6
96,4
96,7
97,10
97,7
97,8
98,6
99,4
99,9
99,5
99,7
100,2
100,3
100,1
101,1
101,3
101,10
101,5
102,6
102,10
103,1
103,4
103,5
103,9
103,2
104,10
105,1
106,7
107,9
108,3
108,6
109,6
109,1
109,8
109,9
110,6
110,9
110,5
110,4
110,8
111,2
111,10
111,3
111,5
111,8
112,9
112,6
112,7
112,2
112,1
113,5
114,7
114,2
114,9
114,6
114,3
115,10
115,5
115,4
115,6
115,3
116,6
116,1
116,7
116,8
117,8
117,5
117,10
117,6
117,7
118,5
118,8
118,1
118,7
119,4
119,6
120,10
120,9
120,1
120,8
120,2
121,7
121,6
121,4
121,1
121,2
122,2
122,9
122,7
122,1
123,7
123,9
123,3
124,10
124,2
125,7
125,9
126,8
126,10
126,5
126,1
126,7
127,5
127,6
127,10
128,4
128,3
128,8
128,5
128,7
129,2
129,9
129,4
130,6
130,1
130,9
131,6
131,2
132,1
132,4
132,2
132,8
132,10
133,7
133,2
133,4
134,4
135,3
135,5
135,6
136,2
136,8
136,5
136,1
137,1
137,5
137,9
137,10
138,6
138,2
138,4
139,7
139,4
139,5
139,6
139,2
140,9
141,7
141,5
141,8
141,3
141,1
142,9
142,8
143,4
143,3
143,9
143,7
143,2
144,9
144,4
144,5
145,4
145,9
145,5
145,10
146,10
146,4
146,2
147,2
147,4
148,7
149,6
149,7
149,9
149,10
150,6
