task,budget
1,384.966
2,261.632
3,368.296
4,210.163
5,368.816
6,393.143
7,288.315
8,298.264
9,477.19
10,287.43
11,295.995
12,375.162
13,354.623
14,234.215
15,216.629
16,242.935
17,403.954
18,380.635
19,274.998
20,296.47
21,352.407
22,401.615
23,372.963
24,317.312
25,386.784
26,358.612
27,323.327
28,266.975
29,391.003
30,239.516
31,244.293
32,312.826
33,463.969
34,467.259
35,400.313
36,365.448
37,468.413
38,456.676
39,239.514
40,497.259
41,444.553
42,309.79
43,276.536
44,267.479
45,272.222
46,225.377
47,345.476
48,235.233
49,236.732
50,315.926
51,414.891
52,252.792
53,484.831
54,203.68
55,217.36
56,351.172
57,416.04
58,224.489
59,242.13
60,465.416
61,475.794
62,352.027
63,305.388
64,261.677
65,225.751
66,499.608
67,268.61
68,349.731
69,418.905
70,497.856
71,426.352
72,296.009
73,431.886
74,340.064
75,243.153
76,339.203
77,206.767
78,441.784
79,391.364
80,472.893
81,405.871
82,272.87
83,301.698
84,209.89
85,271.229
86,274.368
87,393.455
88,270.559
89,494.943
90,322.048
91,252.842
92,491.742
93,414.176
94,346.321
95,384.665
96,251.351
97,274.392
98,304.394
99,383.374
100,259.311
101,449.116
102,249.096
103,288.877
104,391.525
105,346.477
106,237.678
107,212.153
108,345.668
109,257.93
110,363.57
111,203.957
112,360.579
113,341.551
114,224.474
115,299.402
116,428.788
117,229.797
118,204.433
119,225.518
120,232.234
121,271.008
122,370.333
123,462.389
124,443.83
125,344.813
126,223.999
127,482.987
128,204.343
129,238.857
130,234.053
131,310.091
132,396.193
133,476.191
134,422.529
135,416.749
136,474.809
137,319.471
138,278.57
139,465.618
140,240.346
141,316.282
142,444.878
143,463.537
144,458.427
145,323.607
146,376.565
147,476.681
148,249.698
149,351.514
150,204.969
151,435.569
152,462.983
153,469.107
154,466.42
155,429.68
156,412.687
157,250.433
158,493.27
159,270.531
160,340.988
161,461.571
162,379.13
163,391.809
164,444.237
165,383.066
166,422.587
167,313.382
168,495.947
169,427.285
170,296.194
171,312.499
172,254.316
173,303.099
174,294.878
175,200.203
176,244.368
177,255.046
178,327.374
179,323.74
180,289.319
181,420.098
182,452.693
183,319.836
184,204.087
185,255.744
186,353.025
187,206.064
188,334.18
189,273.034
190,415.292
191,482.149
192,388.252
193,232.009
194,391.1
195,304.866
196,355.779
197,424.964
198,437.903
199,456.005
200,323.751
201,243.913
202,463.292
203,477.06
204,218.631
205,435.347
206,445.581
207,415.074
208,336.201
209,454.774
210,460.158
211,265.036
212,360.984
213,365.792
214,497.578
215,325.12
216,206.999
217,348.728
218,332.368
219,366.909
220,375.076
221,207.442
222,242.161
223,349.992
224,231.051
225,458.703
226,229.858
227,348.228
228,442.978
229,459.179
230,459.629
231,321.441
232,483.579
233,479.571
234,371.154
235,452.382
236,357.002
237,469.575
238,451.618
239,284.027
240,442.076
241,349.099
242,469.492
243,225.371
244,369.246
245,361.349
246,230.476
247,446.625
248,246.922
249,221.981
250,287.049
251,378.264
252,326.153
253,203.646
254,433.064
255,211.148
256,452.156
257,241.741
258,358.588
259,385.701
260,298.075
261,281.275
262,285.485
263,227.776
264,487.635
265,404.837
266,379.268
267,327.761
268,408.193
269,458.781
270,253.077
271,201.316
272,450.236
273,313.064
274,281.752
275,310.589
276,461.582
277,327.559
278,277.882
279,324.822
280,227.537
281,210.448
282,263.66
283,339.485
284,334.118
285,403.223
286,315.177
287,415.815
288,418.815
289,461.4
290,202.637
291,413.079
292,277.256
293,323.773
294,277.877
295,495.036
296,225.775
297,475.163
298,345.137
299,377.932
300,321.567
