worker,latitude,longitude
1,24.1082,72.8849
2,32.4374,69.9243
3,17.0761,94.9662
4,24.3087,76.038
5,15.9682,76.6661
6,12.6758,87.3253
7,11.6925,73.4755
8,13.1029,74.1571
9,15.8928,89.9265
10,36.0487,89.8852
11,35.0258,81.2767
12,27.6199,89.0196
13,21.3628,72.5116
14,27.2353,70.9907
15,35.9844,73.2737
16,20.0127,90.3722
17,14.4956,70.0025
18,9.4916,92.7287
19,10.5083,76.8157
20,9.6597,82.1694
21,10.9102,69.1676
22,8.6891,77.8135
23,27.6578,91.0953
24,20.3062,80.0593
25,11.7934,81.2473
26,35.0612,68.8838
27,12.7523,83.4227
28,21.6807,94.1344
29,17.4729,92.4243
30,15.2394,75.0189
31,20.5798,90.8023
32,22.1171,89.7636
33,13.5143,78.8726
34,11.637,85.0103
35,15.8433,70.005
36,13.4621,92.4258
37,22.309,82.8127
38,35.6582,84.1795
39,14.3449,87.6313
40,18.0227,71.9339
41,22.1876,83.2597
42,22.6458,79.6688
43,15.325,89.6041
44,14.1733,95.0191
45,34.6264,74.7107
46,28.4826,96.0627
47,18.9862,93.036
48,30.1461,71.1646
49,17.0859,80.0526
50,27.5457,77.9695
51,32.9001,77.6779
52,32.1974,76.91
53,19.0251,71.6736
54,20.9294,74.7616
55,28.5058,96.3981
56,26.6339,80.1386
57,21.1927,87.6955
58,29.6913,89.1959
59,29.9023,84.9451
60,26.0899,73.7025
61,26.2673,86.7814
62,36.4678,90.1109
63,20.4723,70.7961
64,15.8904,93.5645
65,10.8591,69.7457
66,32.071,93.8208
67,33.4653,92.5034
68,15.3101,74.3083
69,18.8657,84.9731
70,16.3656,73.3103
71,16.3772,92.6966
72,8.7064,82.2744
73,10.2454,89.0643
74,30.9134,96.6515
75,36.2255,80.8062
76,13.18,76.2358
77,17.5504,79.4293
78,8.7512,88.0499
79,36.7311,80.2356
80,9.2837,86.7803
81,29.1485,96.0657
82,8.9609,94.8123
83,9.7913,92.8467
84,11.0402,92.3105
85,18.9526,68.9896
86,30.8306,73.0449
87,17.1746,92.3803
88,33.4748,76.2399
89,15.3977,80.4299
90,37.5638,74.5922
91,12.5992,75.3809
92,32.557,78.8274
93,27.2843,87.0337
94,25.0269,83.8107
95,25.8797,88.4742
96,17.2737,86.4518
97,31.1692,70.6283
98,24.0024,77.6459
99,9.8746,91.646
100,23.6528,94.1654
101,37.538,84.7457
102,16.6042,75.684
103,13.3889,90.1956
104,28.562,88.852
105,27.129,81.822
106,23.0219,69.095
