worker,cost
1,5.719
2,6.897
3,7.337
4,8.14
5,5.274
6,6.685
7,9.0
8,9.168
9,9.718
10,8.118
11,7.301
12,8.184
13,8.096
14,7.666
15,6.814
16,7.466
17,8.512
18,5.118
19,7.416
20,6.335
21,5.792
22,8.984
23,5.991
24,5.612
25,9.577
26,5.203
27,7.887
28,9.407
29,7.655
30,9.232
31,7.393
32,8.172
33,8.926
34,8.095
35,5.703
36,5.353
37,8.433
38,7.223
39,9.542
40,8.929
41,9.472
42,8.548
43,9.459
44,8.198
45,7.531
46,6.061
47,9.974
48,7.748
49,7.105
50,6.434
51,8.335
52,5.645
53,7.58
54,5.245
55,8.867
56,6.628
57,8.265
58,8.491
59,5.736
60,8.704
61,5.713
62,6.673
63,9.018
64,6.819
65,5.558
66,5.082
67,8.986
68,5.594
69,9.254
70,8.039
71,9.451
72,6.486
73,6.726
74,6.135
75,8.498
76,5.505
77,5.896
78,9.241
79,9.435
80,6.778
81,5.226
82,5.509
83,6.579
84,9.843
85,9.567
86,5.426
87,7.798
88,8.535
89,9.568
90,5.395
91,6.604
92,9.613
93,5.19
94,6.214
95,6.964
96,5.107
97,9.723
98,8.705
99,9.972
100,6.53
101,7.605
102,9.098
103,5.924
104,9.886
105,6.407
106,6.915
107,9.83
108,5.733
109,6.307
110,9.946
111,5.202
112,6.088
113,8.067
114,9.502
115,5.006
116,6.229
117,6.807
118,7.939
119,7.891
120,7.93
121,5.247
122,8.381
123,8.999
124,5.057
125,9.775
126,8.253
127,5.853
128,5.845
129,8.064
130,6.704
131,7.397
132,8.847
133,6.786
134,9.606
135,6.447
136,8.773
137,8.813
138,9.444
139,7.624
140,5.344
141,8.921
142,7.221
143,6.319
144,5.727
145,6.657
146,7.997
147,8.681
148,6.294
149,8.487
150,6.923
151,7.301
152,8.132
153,8.835
154,5.445
155,9.074
156,7.213
157,6.822
158,8.629
159,5.728
160,7.176
161,5.333
162,8.415
163,5.587
164,8.532
165,6.15
166,9.917
167,6.926
168,8.679
169,7.458
170,9.449
171,9.581
172,5.06
173,7.222
174,5.332
175,9.71
176,6.695
177,9.704
178,8.757
179,7.425
180,6.361
181,7.344
182,9.742
183,9.778
184,9.309
185,5.447
186,9.023
187,8.572
188,9.544
189,5.358
190,7.107
191,8.365
192,6.228
193,5.55
194,5.839
195,6.932
196,5.15
197,7.625
198,6.45
199,9.574
200,7.567
201,6.92
202,7.02
203,8.181
204,6.742
205,6.812
206,5.104
207,5.192
208,5.097
209,8.022
210,7.899
211,8.744
212,5.14
213,7.087
214,7.894
215,6.987
216,7.065
217,8.838
218,8.7
219,7.507
220,8.103
221,6.715
222,8.93
223,9.107
224,7.526
225,7.25
226,5.467
227,6.581
228,9.935
229,7.24
230,5.177
231,8.193
232,8.52
233,9.419
234,8.758
235,6.083
236,8.098
237,6.921
238,9.692
239,8.909
240,8.067
241,8.355
242,8.074
243,5.847
244,9.612
245,6.173
246,5.722
247,5.174
248,6.335
249,8.238
250,8.332
