worker,cost
1,7.331
2,5.813
3,5.785
4,6.341
5,6.223
6,6.37
7,9.254
8,8.472
9,8.005
10,6.083
11,9.582
12,9.196
13,7.601
14,7.819
15,5.032
16,6.864
17,5.784
18,6.234
19,8.958
20,5.621
21,7.561
22,5.89
23,6.858
24,5.224
25,8.69
26,6.775
27,6.565
28,9.922
29,8.333
30,6.171
31,7.655
32,5.758
33,7.153
34,5.609
35,5.079
36,9.793
37,6.877
38,6.594
39,9.894
40,7.646
41,8.53
42,8.575
43,5.687
44,7.779
45,8.412
46,5.748
47,9.881
48,6.605
49,7.125
50,9.007
51,7.444
52,9.702
53,6.707
54,6.511
55,6.601
56,9.29
57,6.177
58,6.36
59,6.297
60,5.049
61,9.293
62,7.941
63,6.223
64,8.1
65,7.571
66,7.254
67,5.121
68,9.87
69,8.19
70,9.334
71,5.115
72,7.098
73,5.806
74,9.685
75,9.478
76,5.076
77,6.776
78,5.335
79,7.204
80,8.254
81,7.161
82,5.66
83,5.839
84,5.906
85,8.055
86,6.756
87,7.344
88,6.458
89,7.441
90,5.825
91,6.346
92,6.12
93,5.875
94,6.174
95,8.877
96,9.565
97,5.857
98,6.12
99,8.791
100,7.783
101,5.63
102,9.663
103,8.641
104,6.266
105,8.672
106,5.272
107,7.744
108,7.99
109,9.56
110,8.254
111,7.365
112,6.807
113,7.505
114,5.569
115,7.433
116,7.653
117,5.884
118,7.641
119,9.843
120,8.411
121,8.224
122,9.201
123,7.778
124,7.849
125,5.06
126,5.187
127,5.391
128,7.092
129,7.515
130,5.573
131,9.74
132,7.019
133,6.64
134,8.769
135,8.488
136,5.786
137,6.329
138,8.159
139,8.846
140,8.245
141,9.884
142,6.136
143,6.725
144,6.178
145,7.333
146,8.389
147,8.109
148,6.343
149,8.309
150,6.773
151,9.638
152,7.696
153,5.098
154,8.911
155,9.801
156,7.485
157,6.02
158,5.018
159,7.026
160,6.7
161,9.704
162,9.64
163,7.334
164,7.175
165,5.179
166,6.616
167,5.863
168,8.228
169,5.471
170,7.39
171,8.451
172,7.654
173,9.621
174,9.893
175,9.361
176,5.506
177,6.494
178,6.439
179,9.187
180,5.221
181,7.067
182,6.276
183,9.575
184,5.991
185,9.894
186,9.915
187,6.957
188,8.139
189,9.027
190,7.302
191,8.232
192,6.386
193,5.54
194,9.935
195,7.007
196,8.206
197,5.886
198,8.792
199,8.018
200,9.852
201,8.295
202,6.037
203,9.795
204,5.77
205,6.523
206,6.322
207,5.582
208,7.602
209,7.924
210,9.41
211,5.841
212,7.878
213,6.398
214,6.238
215,7.725
216,5.493
217,5.442
218,9.762
219,6.802
220,6.037
221,9.253
222,5.315
223,8.325
224,5.909
225,7.506
226,9.386
227,7.029
228,7.513
229,6.964
230,5.824
231,7.578
232,7.431
233,6.068
234,6.695
235,9.451
236,8.499
237,9.149
238,6.253
239,5.947
240,7.982
241,8.28
242,7.736
243,8.708
244,6.568
245,8.701
246,5.32
247,7.207
248,9.311
249,7.252
250,7.738
251,6.403
252,8.889
253,6.148
254,5.574
255,5.94
256,8.005
257,6.749
258,9.524
259,7.873
260,5.412
261,9.17
262,7.097
263,6.836
264,9.385
265,7.689
266,8.581
267,9.111
268,5.515
269,9.761
270,8.723
271,6.476
272,7.032
273,9.308
274,9.702
275,5.852
276,6.72
277,5.747
278,7.919
279,8.56
280,6.733
281,5.72
282,6.49
283,7.46
284,6.417
285,6.804
286,8.685
287,8.003
288,8.835
289,9.237
290,9.371
291,9.722
292,5.34
293,9.533
294,8.501
295,9.786
296,6.328
297,8.159
298,7.376
299,5.636
300,9.293
