worker,task
1,71
2,38
2,79
2,78
2,26
2,73
3,61
3,50
3,88
3,87
4,40
4,97
4,44
4,70
4,1
5,87
5,80
5,17
5,6
5,97
6,3
6,76
6,91
6,79
6,94
7,71
7,20
8,64
8,68
8,34
9,30
9,44
10,24
10,36
10,48
11,83
11,31
12,60
12,48
12,72
12,93
12,4
13,69
13,89
13,83
13,73
14,19
14,93
14,18
14,65
14,55
15,64
15,47
15,6
15,58
16,11
16,66
16,83
16,61
17,21
17,90
17,34
18,10
18,55
18,56
19,94
19,1
19,82
19,72
19,39
20,51
20,6
20,15
20,59
21,6
21,58
21,21
21,59
22,98
22,35
22,74
22,28
22,79
23,96
23,69
23,39
24,2
24,66
24,82
24,93
24,91
25,92
25,43
26,68
26,18
26,87
27,33
27,31
27,4
27,3
28,39
28,35
28,12
29,80
29,89
29,76
30,95
30,21
31,70
31,11
31,83
31,87
32,3
32,63
32,78
32,49
33,48
33,3
33,25
34,56
34,53
34,16
35,97
36,22
36,68
36,2
36,48
37,14
37,44
37,9
37,20
37,11
38,43
38,28
39,23
40,35
40,55
41,27
41,2
41,62
41,86
42,27
42,57
42,90
43,86
44,31
44,93
44,21
45,19
45,87
45,6
46,93
46,71
46,34
46,6
47,90
47,8
48,32
48,95
48,39
48,66
48,8
49,69
50,98
51,36
51,46
51,81
51,66
52,3
52,30
52,82
52,33
52,66
53,32
54,52
54,65
55,89
55,96
55,72
56,83
57,17
58,53
58,36
58,32
58,27
58,16
59,87
59,35
59,93
60,87
60,76
60,37
61,62
61,79
61,90
62,73
62,61
62,65
62,67
62,21
63,38
64,49
64,51
64,68
64,66
65,19
65,26
65,7
65,66
66,98
67,64
67,27
67,55
68,70
68,14
68,32
68,80
69,68
69,40
69,90
70,94
70,47
70,5
70,22
71,11
71,54
72,16
73,7
73,78
73,99
73,95
73,77
74,54
74,63
74,59
75,59
75,57
75,17
76,87
76,94
76,14
77,44
77,38
77,95
77,45
78,58
79,81
80,17
81,42
81,15
81,63
81,36
81,90
82,32
82,1
83,12
83,57
84,20
84,22
84,13
84,53
84,18
85,1
85,9
85,61
85,81
85,79
86,17
86,88
86,57
86,83
87,68
88,64
89,81
90,11
91,94
91,85
91,76
92,67
92,41
92,99
92,45
93,57
93,100
93,93
94,72
94,100
95,29
96,31
96,12
96,5
96,48
96,96
97,91
97,55
97,94
97,14
98,34
98,86
98,81
98,11
99,38
99,27
99,5
99,70
100,42
100,88
101,66
101,43
101,37
101,89
102,87
102,98
103,10
103,12
104,14
104,65
104,63
104,64
104,43
105,93
105,16
106,52
107,43
107,18
107,71
107,19
108,33
108,57
108,92
108,90
109,17
109,93
109,86
110,64
110,65
110,83
111,48
111,1
112,98
112,86
112,8
113,46
114,48
114,4
114,26
115,81
115,58
115,78
115,43
116,8
116,39
117,53
118,65
118,78
118,19
119,53
120,81
120,37
120,34
121,61
121,43
121,92
122,24
122,92
122,63
122,61
122,75
123,90
123,42
123,91
123,93
124,38
124,72
124,25
125,90
125,95
125,26
125,75
126,39
126,58
126,17
126,35
127,48
127,61
127,92
127,32
128,14
128,46
129,80
129,31
129,56
130,17
130,12
130,94
130,4
130,100
131,22
131,86
132,27
132,94
132,78
133,23
133,56
134,18
134,44
134,16
135,88
135,10
135,96
135,16
135,60
136,46
136,94
137,58
138,18
139,26
139,40
139,80
139,58
140,17
140,32
140,29
140,8
141,33
141,93
141,79
141,40
141,12
142,91
143,24
143,19
143,99
143,91
143,89
144,71
144,99
144,77
144,40
145,48
145,14
145,76
146,34
146,84
146,32
147,27
147,49
147,23
147,12
147,33
148,55
148,7
149,41
150,17
150,39
150,74
151,81
152,99
153,60
154,73
155,73
155,3
155,39
156,31
156,56
156,20
157,76
157,50
157,94
158,16
159,47
159,82
159,58
159,89
159,51
160,6
160,68
160,67
161,20
161,26
161,53
162,19
163,91
163,9
163,97
163,30
163,32
164,60
164,13
164,37
165,27
165,87
166,98
166,100
167,67
167,33
167,100
167,36
168,23
168,21
168,89
168,44
169,50
170,64
170,61
170,30
170,74
171,27
171,41
171,20
172,11
173,57
173,62
173,83
174,37
174,92
175,47
175,40
175,83
175,78
175,91
176,56
177,38
177,19
178,26
178,87
178,16
178,64
178,5
179,3
179,23
179,18
179,37
180,5
180,80
180,100
180,43
181,77
181,4
182,58
182,34
182,25
182,89
182,15
183,62
183,2
183,92
183,57
184,35
184,61
184,8
184,32
185,57
185,44
185,13
186,1
187,7
187,22
187,8
188,44
188,20
188,31
189,46
189,55
189,65
189,54
189,9
190,1
190,91
191,55
191,95
191,82
191,93
191,46
192,82
193,9
193,45
193,53
193,22
194,41
195,42
195,79
195,77
195,70
195,29
196,72
196,14
196,86
197,89
198,48
198,83
198,50
198,53
199,64
200,91
201,50
201,12
201,41
202,54
202,30
202,29
203,75
203,87
203,13
204,58
204,86
204,93
204,88
205,1
205,83
206,49
206,58
206,41
206,32
207,58
207,73
207,21
207,76
207,41
208,11
208,66
209,23
209,100
209,40
210,13
210,38
210,94
210,52
211,68
211,100
212,97
212,85
213,98
213,52
213,59
214,59
214,6
214,63
214,69
214,18
215,93
215,34
215,73
215,59
215,44
216,81
216,74
217,25
217,78
217,40
217,60
217,62
218,81
218,41
218,21
218,74
218,89
219,34
219,72
219,17
219,39
220,34
220,26
220,74
221,7
221,21
222,79
222,66
222,75
222,94
223,34
223,6
224,37
224,51
224,41
225,90
225,59
225,95
225,49
226,22
226,12
227,26
227,94
227,29
227,36
227,1
228,64
228,100
228,46
229,21
229,60
229,3
229,46
229,66
230,10
230,95
230,48
231,65
231,27
231,64
232,19
232,73
233,99
233,9
233,44
233,33
233,84
234,81
234,69
234,83
235,20
235,51
236,18
236,46
237,48
237,54
238,49
238,87
238,96
239,76
239,27
239,63
239,59
240,83
240,63
240,21
241,71
241,76
241,47
242,25
242,12
242,1
242,99
243,5
243,71
244,2
244,36
244,23
245,2
245,90
245,15
245,92
245,68
246,22
246,76
246,7
246,84
246,20
247,60
247,54
247,50
247,64
248,4
248,12
248,42
248,66
248,56
249,30
250,23
251,75
252,87
253,74
253,30
253,60
253,22
254,8
254,97
255,76
255,62
256,82
257,58
258,92
258,41
258,85
258,6
258,70
259,34
259,71
259,27
259,7
259,87
260,12
260,49
260,4
261,1
261,21
262,51
262,11
262,70
263,59
263,73
263,18
264,75
264,49
264,8
264,82
265,87
265,1
265,47
265,7
265,79
266,96
266,98
266,71
267,33
267,87
267,45
267,70
267,68
268,55
269,4
269,21
269,43
270,81
270,74
270,21
271,72
271,30
271,4
272,80
273,2
274,62
275,23
275,84
276,46
276,44
277,44
277,88
277,45
277,49
277,37
278,62
278,58
278,99
278,31
278,54
279,43
279,19
279,53
280,99
280,89
281,11
281,30
281,71
281,7
281,96
282,59
282,57
282,70
283,38
284,5
284,48
284,66
284,100
284,65
285,6
285,40
286,77
286,47
286,93
286,25
286,16
287,97
287,36
288,70
288,12
288,24
288,54
288,20
289,43
289,11
289,42
289,5
290,4
290,19
291,84
291,91
291,7
292,1
292,13
292,86
292,93
293,87
293,44
294,79
294,3
294,87
294,21
294,17
295,87
295,20
295,69
295,19
295,58
296,39
296,27
296,45
296,34
296,44
297,28
297,100
297,33
297,56
297,42
298,81
299,94
299,68
300,34
300,7
300,87
300,77
