worker,cost
1,6.04
2,9.967
3,7.979
4,5.939
5,8.686
6,6.305
7,9.611
8,9.916
9,5.954
10,8.163
11,5.192
12,6.301
13,5.244
14,9.833
15,7.945
16,5.126
17,9.639
18,8.284
19,7.264
20,9.716
21,7.333
22,6.034
23,9.017
24,8.922
25,8.97
26,7.055
27,8.952
28,5.789
29,9.285
30,7.54
31,9.732
32,9.396
33,6.234
34,7.253
35,9.842
36,5.5
37,6.563
38,7.487
39,9.72
40,5.407
41,6.28
42,8.322
43,9.638
44,6.349
45,7.833
46,6.667
47,5.166
48,7.368
49,6.441
50,5.912
51,6.342
52,7.175
53,7.659
54,8.089
55,6.249
56,5.195
57,5.409
58,6.782
59,8.174
60,7.606
61,9.229
62,6.713
63,8.326
64,6.277
65,5.91
66,8.66
67,6.025
68,9.207
69,7.002
70,6.46
71,9.79
72,9.921
73,6.536
74,6.757
75,6.338
76,7.022
77,9.226
78,5.193
79,5.902
80,5.165
81,9.859
82,9.512
83,6.412
84,8.844
85,6.129
86,7.712
87,7.425
88,9.149
89,5.572
90,8.545
91,9.883
92,8.712
93,8.35
94,6.586
95,9.698
96,8.369
97,5.853
98,9.258
99,7.246
100,8.585
