task,latitude,longitude
1,30.8576,88.6071
2,12.1757,96.0829
3,35.1238,88.0797
4,29.1828,81.1817
5,11.2001,74.8599
6,10.7332,75.7793
7,25.6591,77.0058
8,37.4431,88.5204
9,12.5589,92.5877
10,26.4857,86.3255
11,33.9367,70.6981
12,10.0537,95.2001
13,24.3406,91.7749
14,21.4433,81.5219
15,10.1042,88.0473
16,33.5898,71.3784
17,13.9092,71.1901
18,23.8121,93.7171
19,37.4534,73.674
20,16.3972,91.6826
21,10.4937,83.7011
22,25.048,75.7945
23,23.0972,73.7783
24,17.0268,83.0975
25,13.1668,73.5386
26,9.4326,82.3484
27,36.4466,76.53
28,10.5785,69.4019
29,27.2816,91.8205
30,27.4018,68.8195
31,16.3567,69.4958
32,16.1813,96.9536
33,12.3306,79.2953
34,36.7245,77.5467
35,25.8697,96.1028
36,17.1678,81.1193
37,35.1391,72.3901
38,28.0321,80.1455
39,12.4278,76.3273
40,28.1223,92.1178
41,19.9356,85.7096
42,34.0081,91.7332
43,24.0847,80.2341
44,24.0364,72.4267
45,10.2374,71.7041
46,15.9584,82.0034
47,32.4259,92.4049
48,20.1111,96.1522
49,18.8997,74.5687
50,35.7319,80.9149
51,8.735,97.0202
52,24.0123,69.2128
53,34.1944,91.4301
54,12.9002,70.096
55,11.8776,89.2432
56,12.604,79.4908
57,30.0519,83.5528
58,31.3472,68.8336
59,26.204,71.0754
60,8.9142,69.3037
61,29.8527,76.6202
62,23.2729,88.4706
63,14.3779,81.6357
64,18.0088,84.6216
65,10.1879,86.5135
66,8.6776,93.2577
67,26.1827,78.2751
68,25.784,82.3669
69,25.9351,77.0356
70,12.3267,75.3757
71,37.4448,84.112
72,24.8342,75.2845
73,10.7205,76.6846
74,15.5879,71.2911
75,25.3794,78.0624
76,11.2861,94.421
77,9.7092,76.1619
78,23.653,73.659
79,35.5143,92.554
80,27.4918,95.6779
81,13.7615,90.5925
82,32.7872,77.8313
83,8.6309,75.6205
84,24.7957,73.1473
85,13.4915,94.9592
86,31.5333,73.4575
87,28.7115,94.8209
88,10.3176,77.5112
89,25.7333,78.7524
90,33.6413,96.7973
91,10.242,79.1408
92,34.4402,89.7593
93,20.6654,75.0547
94,31.9671,75.8945
95,36.0731,69.3154
96,37.2114,68.9977
97,25.3334,92.9271
98,11.5279,93.9411
99,31.8081,80.1995
100,8.9231,86.3021
101,17.2942,74.5198
102,35.0341,81.3139
103,33.1776,69.842
104,22.2852,76.6655
105,19.0348,86.1284
106,25.6198,72.2524
107,23.767,80.9254
108,37.1836,83.8456
109,12.8808,78.6375
110,26.4024,72.0092
111,10.8034,82.6741
112,17.6991,91.9479
113,28.0364,94.1367
114,27.3703,91.6019
115,35.9768,69.2257
116,18.5461,83.3408
117,20.5581,82.3012
118,27.6107,96.1605
119,34.7636,95.4245
120,21.5051,92.1885
121,19.1488,92.2016
122,22.1158,81.2038
123,9.4277,75.8493
124,33.126,81.1834
125,26.627,71.3118
126,25.2337,71.4875
127,33.9914,77.9918
128,28.7589,86.8932
129,22.7481,80.4995
130,19.7887,85.9221
131,20.5577,80.0505
132,35.6222,89.9992
133,15.7102,97.0102
134,23.8823,83.9709
135,9.5223,94.5918
136,25.2804,76.1865
137,23.3568,79.0597
138,12.6699,86.3539
139,26.5282,68.8397
140,14.2903,78.2031
141,17.8376,82.8667
142,17.1767,88.01
143,14.1963,91.867
144,33.9584,74.6059
145,32.4621,70.137
146,28.6932,80.4509
147,35.526,90.8363
148,22.5105,74.1124
149,33.2321,69.2009
150,24.4687,85.2567
151,19.4109,75.2535
152,29.5659,91.6669
153,12.454,92.4978
154,30.2745,88.24
155,35.7217,80.9582
156,15.5707,71.3575
157,24.0531,96.8926
158,19.6638,81.5095
159,31.9007,97.1434
160,32.8225,79.2275
161,11.5109,69.4622
162,11.2837,89.8973
163,36.9903,87.5398
164,13.6615,82.8144
165,22.314,90.8928
166,34.5972,91.1152
167,12.8659,74.2549
168,14.3798,87.447
169,33.8474,87.8266
170,37.0963,91.6202
171,23.232,79.2243
172,8.4524,92.9929
173,35.775,77.9861
174,10.1916,78.245
175,25.0564,75.4065
176,30.4687,88.4894
177,9.0499,75.5879
178,37.5909,85.0884
179,23.923,71.2447
180,19.6484,71.1641
181,24.5121,95.7107
182,34.1125,89.0726
183,19.932,81.3255
184,26.9469,94.8947
185,30.7093,77.2005
186,10.8846,87.8608
187,19.5658,83.0554
188,33.1085,76.2684
189,36.3563,89.9496
190,10.4548,90.2132
191,14.9273,87.3023
192,8.7102,82.0198
193,15.458,91.1454
194,26.7506,72.573
195,15.6741,93.7107
196,10.2707,90.4811
197,22.5671,79.9646
198,25.3425,76.447
199,10.7923,93.2239
200,28.1253,73.1158
201,35.774,85.6849
202,37.5139,88.3476
203,19.6619,72.9173
204,14.7183,71.6591
205,28.3825,84.201
206,10.1468,95.72
207,34.2873,96.5432
208,21.3578,78.2829
209,34.7401,93.9024
210,21.2773,83.6169
211,26.8192,84.0216
212,25.7017,94.9576
213,22.6489,87.9482
214,32.5383,91.977
215,36.0239,78.7709
216,24.8795,79.6115
217,21.0922,96.2681
218,31.5097,70.1862
219,17.9377,89.6088
220,31.7594,83.8614
221,22.2616,79.543
222,21.0057,70.7938
223,28.7456,84.409
224,19.2019,78.1324
225,28.707,90.8227
226,22.9275,72.5676
227,11.8835,89.6173
228,23.42,69.3096
229,10.516,77.3756
230,9.5259,75.9399
231,21.8918,86.7495
232,19.9689,95.2882
233,11.3232,94.3224
234,35.6774,78.2405
235,29.3877,94.2839
236,24.5109,89.7972
237,18.7752,90.5863
238,17.6259,71.5516
239,33.3436,73.8427
240,16.868,76.6497
241,20.0549,83.1982
242,10.1441,69.8132
243,30.9858,80.2287
244,31.7969,69.2654
245,25.45,92.8571
246,32.4256,76.9125
247,31.5038,84.9684
248,23.5603,75.2154
249,29.9525,94.0242
250,33.1193,94.8494
