worker,range
1,8163.079
2,8268.418
3,9433.843
4,8832.663
5,9802.46
6,9653.804
7,8800.734
8,8585.379
9,8363.413
10,9321.15
11,9099.029
12,8406.961
13,8584.473
14,8626.44
15,9589.431
16,9051.739
17,9147.063
18,9118.116
19,8258.598
20,8001.205
21,9854.789
22,9848.711
23,8086.047
24,9132.014
25,9783.649
26,9755.058
27,9792.004
28,9647.799
29,8356.236
30,8181.241
31,9298.221
32,8325.005
33,8227.826
34,9376.192
35,8349.092
36,8120.254
37,8126.939
38,9397.828
39,9576.541
40,9614.025
41,8538.627
42,8938.879
43,8569.922
44,9773.16
45,8072.05
46,8704.645
47,9422.281
48,9338.065
49,8555.87
50,8690.091
51,9658.411
52,9499.327
53,8906.221
54,8817.64
55,9166.81
56,9223.339
57,8291.851
58,9983.738
59,8941.058
60,9035.135
61,8161.98
62,9694.714
63,9534.589
64,8918.864
65,9469.36
66,8237.852
67,9879.252
68,8365.501
69,8755.793
70,8779.241
71,8469.923
72,8379.414
73,9350.311
74,9038.607
75,9825.728
76,8481.237
77,9419.255
78,8182.204
79,8361.176
80,8309.387
81,9256.349
82,8048.586
83,9357.108
84,8206.158
85,8795.227
86,8552.563
87,8913.368
88,8917.946
89,9557.613
90,9599.925
91,8813.381
92,8491.987
93,9346.836
94,8808.079
95,8268.391
96,8218.476
97,9650.187
98,8996.857
99,8349.979
100,9443.976
101,8721.337
102,8551.92
103,9265.098
104,8915.448
105,9266.666
106,9812.242
107,9755.451
108,8075.174
109,8313.322
110,8481.057
111,8544.412
112,8827.784
113,8351.074
114,9065.846
115,8156.277
116,9658.922
117,9501.242
118,9121.882
119,9546.182
120,9913.606
121,9127.144
122,9618.119
123,8892.175
124,9679.063
125,9391.912
126,8593.932
127,8755.993
128,9055.707
129,8291.947
130,9041.247
131,9769.525
132,8116.262
133,9843.681
134,8538.198
135,8835.104
136,9260.112
137,8794.471
138,8952.947
139,9276.384
140,8032.657
141,9111.15
142,9308.701
143,8704.849
144,9334.011
145,8080.059
146,8555.477
147,9343.234
148,8624.883
149,9343.945
150,9279.416
151,8237.774
152,8046.368
153,9086.974
154,9398.691
155,8629.089
156,9214.616
157,8534.177
158,9808.226
159,8575.612
160,8590.987
161,9397.565
162,9317.28
163,9005.999
164,9992.97
165,8934.947
166,8346.537
167,9253.656
168,8900.631
169,9068.273
170,8680.442
171,8131.13
172,8474.522
173,9208.624
174,8884.882
175,8901.333
176,8328.435
177,9913.087
178,8773.719
179,8724.578
180,8991.588
181,9518.697
182,8736.334
183,9284.205
184,8049.547
185,8420.502
186,8961.764
187,8404.958
188,8517.308
189,8320.257
190,9541.472
191,8533.55
192,9413.176
193,9045.47
194,8340.671
195,9625.285
196,8302.292
197,9476.6
198,8444.382
199,9427.828
200,8523.505
201,9856.27
202,9925.832
203,9274.665
204,8163.982
205,8585.494
206,9195.423
207,9675.682
208,9405.552
209,8022.841
210,9118.081
211,8701.148
212,9241.853
213,9467.965
214,9167.431
215,9827.849
216,8483.713
217,9001.427
218,8637.317
219,8162.623
220,8849.222
221,9799.718
222,9451.479
223,8706.466
224,8342.854
225,9895.1
226,9141.258
227,9149.467
228,9024.737
229,8502.36
230,9913.514
231,8043.406
232,8569.77
233,8197.021
234,8338.409
235,9276.463
236,9119.037
237,9205.0
238,8787.349
239,8477.211
240,9354.678
241,8917.664
242,9228.486
243,9133.217
244,8263.208
245,8412.685
246,8705.773
247,9678.511
248,8281.698
249,9140.755
250,8354.801
251,9105.223
252,8296.871
253,9529.385
254,9087.935
255,9097.336
256,9330.139
257,9088.026
258,8627.683
259,8866.193
260,8637.798
261,8372.434
262,9870.604
263,8799.844
264,9408.815
265,8356.093
266,8377.435
267,9544.911
268,9963.406
269,8846.899
270,9467.616
271,8386.569
272,8216.677
273,9938.247
274,9842.124
275,8652.42
276,9923.056
277,8666.615
278,8131.613
279,9511.376
280,8886.198
281,9457.879
282,9983.956
283,9316.217
284,9285.839
285,8948.454
286,8702.985
287,8318.159
288,8455.622
289,8951.6
290,9689.616
291,8813.841
292,8045.036
293,9951.31
294,9087.759
295,8849.508
296,9341.314
297,8236.137
298,9994.858
299,9335.957
300,9014.243
301,8676.093
302,8556.764
303,8594.838
304,8643.925
305,9799.462
306,9630.176
307,8850.336
308,9183.245
309,9478.553
310,9724.424
311,9032.896
312,8863.026
313,8761.215
314,8067.853
315,8266.695
316,9808.514
317,8291.967
318,8704.544
319,8326.422
320,8954.65
321,9219.659
322,8522.129
323,8402.385
324,9708.087
325,9925.001
326,8248.012
327,8200.84
328,8594.415
329,8415.533
330,9991.508
331,9686.168
332,9753.476
333,8387.328
334,8612.482
335,8406.259
336,9495.277
337,9808.583
338,9562.917
339,8598.161
340,9745.316
341,9011.554
342,9980.135
343,8398.027
344,8286.06
345,8550.815
346,8779.475
347,8178.299
348,9435.849
349,8991.585
350,8973.106
351,8111.532
352,9802.478
353,8233.576
354,9485.586
355,9449.032
356,8006.128
357,9355.257
358,9214.593
359,8732.497
360,9060.175
361,8488.569
362,9719.546
363,8487.83
364,9557.941
365,9513.121
366,8377.863
367,9020.922
368,8238.544
369,9640.959
370,9098.291
371,9660.816
372,9626.949
373,9952.558
374,9819.563
375,8727.298
376,8300.982
377,8599.669
378,8979.351
379,8593.767
380,8582.159
381,8076.582
382,8526.267
383,8181.735
384,8710.745
385,8730.044
386,8849.978
387,8233.259
388,9208.495
389,8588.804
390,9045.819
391,9743.663
392,9445.556
393,9108.715
394,8528.084
395,9601.02
396,9948.073
397,9830.53
398,9464.81
399,9529.103
400,8820.583
