worker,skill
1,4
1,8
1,2
1,10
2,10
2,6
2,2
2,8
2,7
3,8
3,4
3,10
3,3
3,7
4,4
4,7
4,3
5,10
5,4
5,7
5,9
6,2
6,6
6,7
7,9
8,6
8,5
9,9
9,3
9,1
9,7
10,10
11,8
12,3
12,10
12,9
12,2
12,6
13,2
13,8
14,5
14,6
15,2
15,3
15,10
15,6
16,2
17,1
17,3
17,10
18,8
19,9
19,7
19,10
20,1
20,4
20,2
20,8
20,10
21,6
21,3
22,4
22,1
23,2
23,1
23,8
24,9
24,6
24,1
25,8
25,4
25,9
25,2
25,3
26,4
26,2
26,5
26,7
27,6
28,5
28,7
29,5
29,7
29,6
30,6
30,9
31,4
31,6
31,2
31,3
32,8
32,5
33,8
33,5
33,10
34,10
34,2
34,4
34,3
34,6
35,5
35,2
36,9
37,6
37,1
37,8
37,9
37,2
38,5
38,9
38,10
38,4
38,7
39,9
39,8
40,10
41,3
42,8
43,8
43,4
44,3
44,6
44,5
44,2
45,6
45,3
45,9
46,5
46,8
46,9
46,4
47,10
47,6
47,9
48,9
48,1
48,5
49,10
49,5
49,2
49,3
50,6
50,2
51,7
51,2
51,1
52,1
53,8
53,10
53,7
54,7
54,3
54,9
54,1
55,9
55,7
55,2
56,7
56,10
56,8
56,5
57,5
57,7
57,2
57,3
58,7
59,7
60,3
60,8
60,6
60,9
60,7
61,1
61,7
61,10
62,7
62,8
62,3
62,1
63,6
63,1
64,4
64,1
64,10
65,1
65,4
65,7
66,1
67,3
67,7
67,10
67,8
67,4
68,6
68,7
68,1
69,5
69,4
70,5
70,1
70,9
71,5
71,3
71,1
71,6
71,8
72,10
73,1
73,6
74,10
74,7
74,5
74,9
75,8
75,9
76,10
76,1
76,2
76,7
77,1
77,10
77,2
78,8
79,9
79,5
79,8
80,1
80,10
80,6
81,7
81,3
81,9
81,5
81,6
82,6
83,10
83,5
83,6
84,4
84,3
84,2
84,7
84,9
85,2
85,1
86,3
87,4
87,1
87,2
87,8
87,9
88,1
89,1
89,8
89,5
90,10
90,7
91,6
91,5
91,2
92,8
92,5
92,1
93,2
93,6
93,3
93,8
94,4
94,7
94,3
95,1
96,2
96,10
96,7
97,2
98,6
98,9
98,10
98,3
99,1
99,5
100,4
100,1
100,7
100,5
101,4
101,9
101,6
101,1
101,7
102,9
102,7
103,4
103,3
104,4
104,9
104,2
104,6
104,3
105,2
105,3
105,5
106,3
106,7
106,9
107,2
107,3
107,9
108,4
109,1
110,3
110,8
110,1
110,5
111,9
111,5
111,7
111,10
111,1
112,2
112,9
112,8
112,3
113,8
114,2
114,6
114,8
115,2
115,7
115,5
115,10
116,4
116,5
116,6
117,6
117,2
117,9
118,10
118,2
119,2
120,4
120,1
121,10
121,7
121,1
121,4
122,10
123,4
123,5
123,8
124,5
124,7
124,4
124,10
124,3
125,3
125,6
125,1
125,10
125,7
126,3
126,6
126,5
126,8
127,1
127,8
127,4
127,6
128,10
128,2
128,4
128,7
128,5
129,3
129,2
130,2
130,3
130,1
131,2
131,7
131,4
131,6
132,9
132,1
132,6
132,10
