worker,range
1,8163.079
2,8268.418
3,9433.843
4,8832.663
5,9802.46
6,9653.804
7,8800.734
8,8585.379
9,8363.413
10,9321.15
11,9099.029
12,8406.961
13,8584.473
14,8626.44
15,9589.431
16,9051.739
17,9147.063
18,9118.116
19,8258.598
20,8001.205
21,9854.789
22,9848.711
23,8086.047
24,9132.014
25,9783.649
26,9755.058
27,9792.004
28,9647.799
29,8356.236
30,8181.241
31,9298.221
32,8325.005
33,8227.826
34,9376.192
35,8349.092
36,8120.254
37,8126.939
38,9397.828
39,9576.541
40,9614.025
41,8538.627
42,8938.879
43,8569.922
44,9773.16
45,8072.05
46,8704.645
47,9422.281
48,9338.065
49,8555.87
50,8690.091
51,9658.411
52,9499.327
53,8906.221
54,8817.64
55,9166.81
56,9223.339
57,8291.851
58,9983.738
59,8941.058
60,9035.135
61,8161.98
62,9694.714
63,9534.589
64,8918.864
65,9469.36
66,8237.852
67,9879.252
68,8365.501
69,8755.793
70,8779.241
71,8469.923
72,8379.414
73,9350.311
74,9038.607
75,9825.728
76,8481.237
77,9419.255
78,8182.204
79,8361.176
80,8309.387
81,9256.349
82,8048.586
83,9357.108
84,8206.158
85,8795.227
86,8552.563
87,8913.368
88,8917.946
89,9557.613
90,9599.925
91,8813.381
92,8491.987
93,9346.836
94,8808.079
95,8268.391
96,8218.476
97,9650.187
98,8996.857
99,8349.979
100,9443.976
101,8721.337
102,8551.92
103,9265.098
104,8915.448
105,9266.666
106,9812.242
107,9755.451
108,8075.174
109,8313.322
110,8481.057
111,8544.412
112,8827.784
113,8351.074
114,9065.846
115,8156.277
116,9658.922
117,9501.242
118,9121.882
119,9546.182
120,9913.606
121,9127.144
122,9618.119
123,8892.175
124,9679.063
125,9391.912
126,8593.932
127,8755.993
128,9055.707
129,8291.947
130,9041.247
131,9769.525
132,8116.262
133,9843.681
134,8538.198
135,8835.104
136,9260.112
137,8794.471
138,8952.947
139,9276.384
140,8032.657
141,9111.15
142,9308.701
143,8704.849
144,9334.011
145,8080.059
146,8555.477
147,9343.234
148,8624.883
149,9343.945
150,9279.416
151,8237.774
152,8046.368
153,9086.974
154,9398.691
155,8629.089
156,9214.616
157,8534.177
158,9808.226
159,8575.612
160,8590.987
161,9397.565
162,9317.28
163,9005.999
164,9992.97
165,8934.947
166,8346.537
167,9253.656
168,8900.631
169,9068.273
170,8680.442
171,8131.13
172,8474.522
173,9208.624
174,8884.882
175,8901.333
176,8328.435
177,9913.087
178,8773.719
179,8724.578
180,8991.588
181,9518.697
182,8736.334
183,9284.205
184,8049.547
185,8420.502
186,8961.764
187,8404.958
188,8517.308
189,8320.257
190,9541.472
191,8533.55
192,9413.176
193,9045.47
194,8340.671
195,9625.285
196,8302.292
197,9476.6
198,8444.382
199,9427.828
200,8523.505
