worker,skill
1,10
1,1
1,5
2,5
2,7
3,3
3,10
3,8
3,9
3,5
4,4
4,3
5,10
5,2
5,9
6,9
6,10
6,2
6,8
7,3
7,10
7,9
7,2
7,7
8,9
8,8
8,4
8,10
8,7
9,2
9,7
9,6
9,1
9,8
10,9
10,7
10,1
11,2
11,4
11,7
12,6
13,1
13,4
13,2
13,10
13,7
14,10
15,10
15,2
15,1
15,5
15,8
16,5
16,7
16,4
16,8
17,1
17,2
17,5
17,4
18,9
18,4
18,10
18,1
19,1
19,2
19,7
19,6
20,9
20,6
20,5
20,4
21,4
22,10
22,1
22,3
22,5
22,4
23,10
23,2
23,8
24,1
24,4
25,3
25,4
25,6
25,1
25,10
26,6
26,2
26,5
27,4
27,10
27,1
27,2
28,9
28,6
28,4
29,6
29,8
29,1
30,2
30,1
30,8
31,10
31,6
31,5
31,3
31,8
32,10
32,1
32,3
32,7
33,6
33,1
34,1
34,2
35,10
35,2
36,3
36,5
36,10
36,1
36,7
37,3
38,7
38,4
39,9
39,5
39,3
40,5
40,10
40,3
40,6
40,7
41,7
41,6
41,2
41,10
41,5
42,3
43,10
43,6
44,5
44,8
44,4
45,7
45,8
45,10
46,1
46,3
47,5
47,7
47,10
48,9
48,6
48,8
49,6
50,8
51,3
51,2
52,2
53,1
53,3
54,7
54,6
55,2
56,7
57,5
58,6
59,7
59,10
60,10
60,2
60,1
60,8
61,4
61,10
61,6
62,7
62,9
62,3
62,2
63,4
63,8
64,4
64,10
64,7
65,3
66,4
67,9
67,5
67,1
67,10
68,3
68,2
68,10
68,4
69,3
69,2
70,6
71,7
72,5
72,7
72,3
72,6
72,1
73,7
73,5
73,3
73,8
74,6
74,5
75,6
75,1
75,3
76,9
77,3
77,10
77,5
77,7
78,4
78,10
79,3
80,3
80,8
80,9
80,10
80,5
81,1
81,8
82,8
82,2
83,3
83,1
83,10
84,4
84,1
85,7
85,2
85,4
85,10
86,3
86,2
87,3
88,4
89,2
89,8
90,3
91,5
91,2
92,9
92,6
92,5
93,9
93,1
93,3
93,6
94,2
94,10
95,3
95,7
95,1
96,4
97,10
97,5
97,3
97,8
98,3
98,8
99,8
100,9
100,4
100,5
100,2
100,10
101,7
101,4
101,6
102,5
102,8
102,4
103,7
103,5
103,10
104,10
105,2
105,8
105,6
106,6
106,1
107,8
