task,req_skill
1,2
1,3
2,4
2,1
2,5
3,2
3,5
3,3
4,5
4,3
4,1
4,2
5,2
6,4
6,2
6,3
7,3
7,1
7,4
8,4
9,2
9,1
9,5
9,3
10,4
10,1
10,5
11,5
11,4
11,2
12,3
12,5
13,2
14,1
14,5
14,4
14,2
15,1
15,5
15,4
16,1
16,5
16,3
17,1
17,5
17,2
17,4
18,3
18,1
18,2
18,5
19,1
19,5
20,2
20,4
20,3
21,1
21,4
22,1
22,5
23,3
23,5
23,1
23,2
24,2
24,4
24,5
25,4
26,5
26,2
27,3
27,4
27,2
27,1
28,1
28,3
28,2
28,4
29,2
29,5
29,3
29,4
30,4
30,3
30,2
31,3
31,5
31,4
31,2
32,4
32,1
33,1
33,3
34,5
35,5
35,2
35,4
36,2
36,1
36,5
37,5
37,2
37,1
38,5
39,1
39,4
40,1
40,5
40,4
41,5
42,1
42,3
42,2
42,5
43,5
43,4
43,2
44,3
44,5
44,1
45,2
45,5
45,1
45,3
46,1
47,4
47,2
48,4
48,3
49,5
49,1
49,4
50,1
50,3
51,4
51,2
51,3
51,1
52,2
52,1
53,1
53,4
53,5
54,5
54,1
54,2
55,5
56,5
57,5
57,1
57,3
57,4
58,5
59,2
59,4
60,2
60,5
60,4
60,1
61,5
62,4
63,4
63,2
63,3
64,1
65,4
65,1
65,5
66,4
67,4
67,5
67,2
67,3
68,4
68,2
68,1
69,2
70,2
70,5
70,4
71,2
71,4
71,5
71,1
72,4
72,2
72,3
72,1
73,2
73,4
73,1
74,3
74,2
74,5
75,5
75,1
75,2
75,3
76,1
76,4
76,3
76,5
77,2
77,4
77,3
78,4
79,4
80,3
80,5
81,5
81,4
81,1
81,2
82,3
82,5
82,2
82,4
83,3
83,2
84,5
84,3
84,4
84,1
85,2
85,4
86,5
86,3
86,2
87,3
87,5
87,1
87,2
88,5
89,5
90,1
90,4
90,2
91,3
91,1
91,5
91,4
92,1
93,1
93,3
93,4
93,5
94,2
95,5
96,5
96,1
96,2
96,4
97,2
97,4
97,1
97,5
98,4
99,4
99,2
99,3
100,3
100,4
100,2
